subject,predicate,object
"['visual-map', 'visual-ZoomChartsPieChartPaid']",AntecedentsOf,set_no_6639
"['visual-lineChart', 'visual-clusteredColumnChart', 'visual-treemap', 'visual-funnel']",ConsequentsOf,set_no_6639
"['visual-treemap', 'visual-funnel']",AntecedentsOf,set_no_6640
"['visual-lineChart', 'visual-clusteredColumnChart', 'visual-map', 'visual-ZoomChartsPieChartPaid']",ConsequentsOf,set_no_6640
"['visual-funnel', 'visual-ZoomChartsPieChartPaid']",AntecedentsOf,set_no_6641
"['visual-lineChart', 'visual-clusteredColumnChart', 'visual-treemap', 'visual-map']",ConsequentsOf,set_no_6641
"['visual-treemap', 'visual-ZoomChartsPieChartPaid']",AntecedentsOf,set_no_6642
"['visual-lineChart', 'visual-clusteredColumnChart', 'visual-map', 'visual-funnel']",ConsequentsOf,set_no_6642
['visual-map'],AntecedentsOf,set_no_6643
"['visual-lineChart', 'visual-clusteredColumnChart', 'visual-funnel', 'visual-treemap', 'visual-ZoomChartsPieChartPaid']",ConsequentsOf,set_no_6643
['visual-funnel'],AntecedentsOf,set_no_6644
"['visual-lineChart', 'visual-clusteredColumnChart', 'visual-map', 'visual-treemap', 'visual-ZoomChartsPieChartPaid']",ConsequentsOf,set_no_6644
['visual-treemap'],AntecedentsOf,set_no_6645
"['visual-lineChart', 'visual-clusteredColumnChart', 'visual-map', 'visual-funnel', 'visual-ZoomChartsPieChartPaid']",ConsequentsOf,set_no_6645
['visual-ZoomChartsPieChartPaid'],AntecedentsOf,set_no_6646
"['visual-lineChart', 'visual-clusteredColumnChart', 'visual-map', 'visual-funnel', 'visual-treemap']",ConsequentsOf,set_no_6646
set_no_5620,ConcludedIn,CAR Insurance Analysis
set_no_6574,ConcludedIn,CAR Insurance Analysis
set_no_5788,ConcludedIn,CAR Insurance Analysis
set_no_1121,ConcludedIn,CAR Insurance Analysis
set_no_6572,ConcludedIn,CAR Insurance Analysis
set_no_601,ConcludedIn,CAR Insurance Analysis
set_no_5787,ConcludedIn,CAR Insurance Analysis
set_no_449,ConcludedIn,CAR Insurance Analysis
set_no_302,ConcludedIn,CAR Insurance Analysis
set_no_5619,ConcludedIn,CAR Insurance Analysis
set_no_1725,ConcludedIn,CAR Insurance Analysis
set_no_30,ConcludedIn,CAR Insurance Analysis
set_no_6571,ConcludedIn,CAR Insurance Analysis
set_no_600,ConcludedIn,CAR Insurance Analysis
set_no_448,ConcludedIn,CAR Insurance Analysis
set_no_303,ConcludedIn,CAR Insurance Analysis
set_no_5789,ConcludedIn,CAR Insurance Analysis
set_no_1726,ConcludedIn,CAR Insurance Analysis
set_no_5785,ConcludedIn,CAR Insurance Analysis
set_no_6573,ConcludedIn,CAR Insurance Analysis
set_no_1120,ConcludedIn,CAR Insurance Analysis
set_no_31,ConcludedIn,CAR Insurance Analysis
set_no_6570,ConcludedIn,CAR Insurance Analysis
set_no_5786,ConcludedIn,CAR Insurance Analysis
set_no_83,ConcludedIn,Global terrorism report
set_no_630,ConcludedIn,Global terrorism report
set_no_202,ConcludedIn,Global terrorism report
set_no_9,ConcludedIn,Global terrorism report
set_no_1,ConcludedIn,Global terrorism report
set_no_2886,ConcludedIn,Global terrorism report
set_no_3063,ConcludedIn,Global terrorism report
set_no_205,ConcludedIn,Global terrorism report
set_no_104,ConcludedIn,Global terrorism report
set_no_80,ConcludedIn,Global terrorism report
set_no_0,ConcludedIn,Global terrorism report
set_no_203,ConcludedIn,Global terrorism report
set_no_2884,ConcludedIn,Global terrorism report
set_no_631,ConcludedIn,Global terrorism report
set_no_635,ConcludedIn,Global terrorism report
set_no_3066,ConcludedIn,Global terrorism report
set_no_7,ConcludedIn,Global terrorism report
set_no_633,ConcludedIn,Global terrorism report
set_no_200,ConcludedIn,Global terrorism report
set_no_3065,ConcludedIn,Global terrorism report
set_no_2881,ConcludedIn,Global terrorism report
set_no_35,ConcludedIn,Global terrorism report
set_no_105,ConcludedIn,Global terrorism report
set_no_201,ConcludedIn,Global terrorism report
set_no_6,ConcludedIn,Global terrorism report
set_no_2892,ConcludedIn,Global terrorism report
set_no_85,ConcludedIn,Global terrorism report
set_no_2883,ConcludedIn,Global terrorism report
set_no_84,ConcludedIn,Global terrorism report
set_no_3064,ConcludedIn,Global terrorism report
set_no_81,ConcludedIn,Global terrorism report
set_no_8,ConcludedIn,Global terrorism report
set_no_2885,ConcludedIn,Global terrorism report
set_no_204,ConcludedIn,Global terrorism report
set_no_82,ConcludedIn,Global terrorism report
set_no_2889,ConcludedIn,Global terrorism report
set_no_34,ConcludedIn,Global terrorism report
set_no_78,ConcludedIn,Global terrorism report
set_no_634,ConcludedIn,Global terrorism report
set_no_2887,ConcludedIn,Global terrorism report
set_no_2882,ConcludedIn,Global terrorism report
set_no_79,ConcludedIn,Global terrorism report
set_no_2888,ConcludedIn,Global terrorism report
set_no_2890,ConcludedIn,Global terrorism report
set_no_2891,ConcludedIn,Global terrorism report
set_no_632,ConcludedIn,Global terrorism report
set_no_255,ConcludedIn,COVID-19 Report in Nigeria
set_no_1544,ConcludedIn,COVID-19 Report in Nigeria
set_no_387,ConcludedIn,COVID-19 Report in Nigeria
set_no_39,ConcludedIn,COVID-19 Report in Nigeria
set_no_1542,ConcludedIn,COVID-19 Report in Nigeria
set_no_1541,ConcludedIn,COVID-19 Report in Nigeria
set_no_1543,ConcludedIn,COVID-19 Report in Nigeria
set_no_1540,ConcludedIn,COVID-19 Report in Nigeria
set_no_38,ConcludedIn,COVID-19 Report in Nigeria
set_no_1545,ConcludedIn,COVID-19 Report in Nigeria
set_no_386,ConcludedIn,COVID-19 Report in Nigeria
set_no_254,ConcludedIn,COVID-19 Report in Nigeria
set_no_1448,ConcludedIn,Sales Dashboard
set_no_985,ConcludedIn,Sales Dashboard
set_no_3937,ConcludedIn,Sales Dashboard
set_no_3552,ConcludedIn,Sales Dashboard
set_no_728,ConcludedIn,Sales Dashboard
set_no_5454,ConcludedIn,Sales Dashboard
set_no_2584,ConcludedIn,Sales Dashboard
set_no_141,ConcludedIn,Sales Dashboard
set_no_2633,ConcludedIn,Sales Dashboard
set_no_5190,ConcludedIn,Sales Dashboard
set_no_4242,ConcludedIn,Sales Dashboard
set_no_2193,ConcludedIn,Sales Dashboard
set_no_4192,ConcludedIn,Sales Dashboard
set_no_140,ConcludedIn,Sales Dashboard
set_no_2223,ConcludedIn,Sales Dashboard
set_no_3995,ConcludedIn,Sales Dashboard
set_no_1148,ConcludedIn,Sales Dashboard
set_no_1107,ConcludedIn,Sales Dashboard
set_no_2884,ConcludedIn,Sales Dashboard
set_no_2221,ConcludedIn,Sales Dashboard
set_no_7,ConcludedIn,Sales Dashboard
set_no_2570,ConcludedIn,Sales Dashboard
set_no_353,ConcludedIn,Sales Dashboard
set_no_5117,ConcludedIn,Sales Dashboard
set_no_3944,ConcludedIn,Sales Dashboard
set_no_5107,ConcludedIn,Sales Dashboard
set_no_1447,ConcludedIn,Sales Dashboard
set_no_1689,ConcludedIn,Sales Dashboard
set_no_323,ConcludedIn,Sales Dashboard
set_no_1491,ConcludedIn,Sales Dashboard
set_no_1001,ConcludedIn,Sales Dashboard
set_no_5116,ConcludedIn,Sales Dashboard
set_no_6466,ConcludedIn,Sales Dashboard
set_no_6186,ConcludedIn,Sales Dashboard
set_no_3085,ConcludedIn,Sales Dashboard
set_no_311,ConcludedIn,Sales Dashboard
set_no_2027,ConcludedIn,Sales Dashboard
set_no_2628,ConcludedIn,Sales Dashboard
set_no_314,ConcludedIn,Sales Dashboard
set_no_209,ConcludedIn,Sales Dashboard
set_no_3996,ConcludedIn,Sales Dashboard
set_no_754,ConcludedIn,Sales Dashboard
set_no_2433,ConcludedIn,Sales Dashboard
set_no_6183,ConcludedIn,Sales Dashboard
set_no_2882,ConcludedIn,Sales Dashboard
set_no_645,ConcludedIn,Sales Dashboard
set_no_1000,ConcludedIn,Sales Dashboard
set_no_3573,ConcludedIn,Sales Dashboard
set_no_764,ConcludedIn,Sales Dashboard
set_no_5189,ConcludedIn,Sales Dashboard
set_no_5492,ConcludedIn,Sales Dashboard
set_no_823,ConcludedIn,Sales Dashboard
set_no_4929,ConcludedIn,Sales Dashboard
set_no_116,ConcludedIn,Sales Dashboard
set_no_246,ConcludedIn,Sales Dashboard
set_no_622,ConcludedIn,Sales Dashboard
set_no_93,ConcludedIn,Sales Dashboard
set_no_821,ConcludedIn,Sales Dashboard
set_no_3302,ConcludedIn,Sales Dashboard
set_no_6572,ConcludedIn,Sales Dashboard
set_no_5108,ConcludedIn,Sales Dashboard
set_no_982,ConcludedIn,Sales Dashboard
set_no_1097,ConcludedIn,Sales Dashboard
set_no_1109,ConcludedIn,Sales Dashboard
set_no_308,ConcludedIn,Sales Dashboard
set_no_117,ConcludedIn,Sales Dashboard
set_no_457,ConcludedIn,Sales Dashboard
set_no_6152,ConcludedIn,Sales Dashboard
set_no_3082,ConcludedIn,Sales Dashboard
set_no_3897,ConcludedIn,Sales Dashboard
set_no_1859,ConcludedIn,Sales Dashboard
set_no_2652,ConcludedIn,Sales Dashboard
set_no_24,ConcludedIn,Sales Dashboard
set_no_2881,ConcludedIn,Sales Dashboard
set_no_5500,ConcludedIn,Sales Dashboard
set_no_1290,ConcludedIn,Sales Dashboard
set_no_786,ConcludedIn,Sales Dashboard
set_no_1291,ConcludedIn,Sales Dashboard
set_no_5850,ConcludedIn,Sales Dashboard
set_no_171,ConcludedIn,Sales Dashboard
set_no_3255,ConcludedIn,Sales Dashboard
set_no_1092,ConcludedIn,Sales Dashboard
set_no_5929,ConcludedIn,Sales Dashboard
set_no_3564,ConcludedIn,Sales Dashboard
set_no_760,ConcludedIn,Sales Dashboard
set_no_114,ConcludedIn,Sales Dashboard
set_no_3820,ConcludedIn,Sales Dashboard
set_no_1529,ConcludedIn,Sales Dashboard
set_no_2183,ConcludedIn,Sales Dashboard
set_no_2590,ConcludedIn,Sales Dashboard
set_no_2508,ConcludedIn,Sales Dashboard
set_no_478,ConcludedIn,Sales Dashboard
set_no_3174,ConcludedIn,Sales Dashboard
set_no_1719,ConcludedIn,Sales Dashboard
set_no_2572,ConcludedIn,Sales Dashboard
set_no_4238,ConcludedIn,Sales Dashboard
set_no_5651,ConcludedIn,Sales Dashboard
set_no_1450,ConcludedIn,Sales Dashboard
set_no_3488,ConcludedIn,Sales Dashboard
set_no_5498,ConcludedIn,Sales Dashboard
set_no_3184,ConcludedIn,Sales Dashboard
set_no_3105,ConcludedIn,Sales Dashboard
set_no_5205,ConcludedIn,Sales Dashboard
set_no_164,ConcludedIn,Sales Dashboard
set_no_1175,ConcludedIn,Sales Dashboard
set_no_13,ConcludedIn,Sales Dashboard
set_no_3251,ConcludedIn,Sales Dashboard
set_no_3991,ConcludedIn,Sales Dashboard
set_no_3111,ConcludedIn,Sales Dashboard
set_no_3562,ConcludedIn,Sales Dashboard
set_no_2224,ConcludedIn,Sales Dashboard
set_no_1530,ConcludedIn,Sales Dashboard
set_no_5873,ConcludedIn,Sales Dashboard
set_no_3949,ConcludedIn,Sales Dashboard
set_no_730,ConcludedIn,Sales Dashboard
set_no_2588,ConcludedIn,Sales Dashboard
set_no_1093,ConcludedIn,Sales Dashboard
set_no_6555,ConcludedIn,Sales Dashboard
set_no_1495,ConcludedIn,Sales Dashboard
set_no_5491,ConcludedIn,Sales Dashboard
set_no_3930,ConcludedIn,Sales Dashboard
set_no_3931,ConcludedIn,Sales Dashboard
set_no_3570,ConcludedIn,Sales Dashboard
set_no_476,ConcludedIn,Sales Dashboard
set_no_2188,ConcludedIn,Sales Dashboard
set_no_6154,ConcludedIn,Sales Dashboard
set_no_1099,ConcludedIn,Sales Dashboard
set_no_3902,ConcludedIn,Sales Dashboard
set_no_6534,ConcludedIn,Sales Dashboard
set_no_5713,ConcludedIn,Sales Dashboard
set_no_787,ConcludedIn,Sales Dashboard
set_no_479,ConcludedIn,Sales Dashboard
set_no_2573,ConcludedIn,Sales Dashboard
set_no_5743,ConcludedIn,Sales Dashboard
set_no_5111,ConcludedIn,Sales Dashboard
set_no_572,ConcludedIn,Sales Dashboard
set_no_5494,ConcludedIn,Sales Dashboard
set_no_3107,ConcludedIn,Sales Dashboard
set_no_172,ConcludedIn,Sales Dashboard
set_no_552,ConcludedIn,Sales Dashboard
set_no_817,ConcludedIn,Sales Dashboard
set_no_227,ConcludedIn,Sales Dashboard
set_no_1496,ConcludedIn,Sales Dashboard
set_no_189,ConcludedIn,Sales Dashboard
set_no_148,ConcludedIn,Sales Dashboard
set_no_6467,ConcludedIn,Sales Dashboard
set_no_3314,ConcludedIn,Sales Dashboard
set_no_64,ConcludedIn,Sales Dashboard
set_no_168,ConcludedIn,Sales Dashboard
set_no_1546,ConcludedIn,Sales Dashboard
set_no_648,ConcludedIn,Sales Dashboard
set_no_107,ConcludedIn,Sales Dashboard
set_no_1111,ConcludedIn,Sales Dashboard
set_no_4244,ConcludedIn,Sales Dashboard
set_no_515,ConcludedIn,Sales Dashboard
set_no_2591,ConcludedIn,Sales Dashboard
set_no_1150,ConcludedIn,Sales Dashboard
set_no_1110,ConcludedIn,Sales Dashboard
set_no_2184,ConcludedIn,Sales Dashboard
set_no_3483,ConcludedIn,Sales Dashboard
set_no_2885,ConcludedIn,Sales Dashboard
set_no_206,ConcludedIn,Sales Dashboard
set_no_565,ConcludedIn,Sales Dashboard
set_no_4188,ConcludedIn,Sales Dashboard
set_no_3569,ConcludedIn,Sales Dashboard
set_no_3078,ConcludedIn,Sales Dashboard
set_no_2,ConcludedIn,Sales Dashboard
set_no_761,ConcludedIn,Sales Dashboard
set_no_3947,ConcludedIn,Sales Dashboard
set_no_3218,ConcludedIn,Sales Dashboard
set_no_3928,ConcludedIn,Sales Dashboard
set_no_4223,ConcludedIn,Sales Dashboard
set_no_2185,ConcludedIn,Sales Dashboard
set_no_343,ConcludedIn,Sales Dashboard
set_no_3003,ConcludedIn,Sales Dashboard
set_no_5638,ConcludedIn,Sales Dashboard
set_no_207,ConcludedIn,Sales Dashboard
set_no_2476,ConcludedIn,Sales Dashboard
set_no_1095,ConcludedIn,Sales Dashboard
set_no_348,ConcludedIn,Sales Dashboard
set_no_2580,ConcludedIn,Sales Dashboard
set_no_470,ConcludedIn,Sales Dashboard
set_no_5110,ConcludedIn,Sales Dashboard
set_no_38,ConcludedIn,Sales Dashboard
set_no_3309,ConcludedIn,Sales Dashboard
set_no_289,ConcludedIn,Sales Dashboard
set_no_6533,ConcludedIn,Sales Dashboard
set_no_220,ConcludedIn,Sales Dashboard
set_no_6554,ConcludedIn,Sales Dashboard
set_no_351,ConcludedIn,Sales Dashboard
set_no_2504,ConcludedIn,Sales Dashboard
set_no_1449,ConcludedIn,Sales Dashboard
set_no_735,ConcludedIn,Sales Dashboard
set_no_5659,ConcludedIn,Sales Dashboard
set_no_3032,ConcludedIn,Sales Dashboard
set_no_451,ConcludedIn,Sales Dashboard
set_no_1,ConcludedIn,Sales Dashboard
set_no_345,ConcludedIn,Sales Dashboard
set_no_104,ConcludedIn,Sales Dashboard
set_no_3893,ConcludedIn,Sales Dashboard
set_no_25,ConcludedIn,Sales Dashboard
set_no_288,ConcludedIn,Sales Dashboard
set_no_2478,ConcludedIn,Sales Dashboard
set_no_2431,ConcludedIn,Sales Dashboard
set_no_1009,ConcludedIn,Sales Dashboard
set_no_3077,ConcludedIn,Sales Dashboard
set_no_5444,ConcludedIn,Sales Dashboard
set_no_4224,ConcludedIn,Sales Dashboard
set_no_1473,ConcludedIn,Sales Dashboard
set_no_2629,ConcludedIn,Sales Dashboard
set_no_2434,ConcludedIn,Sales Dashboard
set_no_1691,ConcludedIn,Sales Dashboard
set_no_298,ConcludedIn,Sales Dashboard
set_no_471,ConcludedIn,Sales Dashboard
set_no_3250,ConcludedIn,Sales Dashboard
set_no_3305,ConcludedIn,Sales Dashboard
set_no_5848,ConcludedIn,Sales Dashboard
set_no_1464,ConcludedIn,Sales Dashboard
set_no_2034,ConcludedIn,Sales Dashboard
set_no_3039,ConcludedIn,Sales Dashboard
set_no_1152,ConcludedIn,Sales Dashboard
set_no_229,ConcludedIn,Sales Dashboard
set_no_1468,ConcludedIn,Sales Dashboard
set_no_5490,ConcludedIn,Sales Dashboard
set_no_820,ConcludedIn,Sales Dashboard
set_no_5450,ConcludedIn,Sales Dashboard
set_no_739,ConcludedIn,Sales Dashboard
set_no_1864,ConcludedIn,Sales Dashboard
set_no_144,ConcludedIn,Sales Dashboard
set_no_3821,ConcludedIn,Sales Dashboard
set_no_1547,ConcludedIn,Sales Dashboard
set_no_555,ConcludedIn,Sales Dashboard
set_no_3217,ConcludedIn,Sales Dashboard
set_no_3553,ConcludedIn,Sales Dashboard
set_no_131,ConcludedIn,Sales Dashboard
set_no_1237,ConcludedIn,Sales Dashboard
set_no_461,ConcludedIn,Sales Dashboard
set_no_3172,ConcludedIn,Sales Dashboard
set_no_341,ConcludedIn,Sales Dashboard
set_no_4932,ConcludedIn,Sales Dashboard
set_no_2889,ConcludedIn,Sales Dashboard
set_no_3310,ConcludedIn,Sales Dashboard
set_no_2905,ConcludedIn,Sales Dashboard
set_no_5872,ConcludedIn,Sales Dashboard
set_no_3037,ConcludedIn,Sales Dashboard
set_no_2654,ConcludedIn,Sales Dashboard
set_no_1694,ConcludedIn,Sales Dashboard
set_no_984,ConcludedIn,Sales Dashboard
set_no_1720,ConcludedIn,Sales Dashboard
set_no_5746,ConcludedIn,Sales Dashboard
set_no_3554,ConcludedIn,Sales Dashboard
set_no_3054,ConcludedIn,Sales Dashboard
set_no_5716,ConcludedIn,Sales Dashboard
set_no_755,ConcludedIn,Sales Dashboard
set_no_3063,ConcludedIn,Sales Dashboard
set_no_3304,ConcludedIn,Sales Dashboard
set_no_175,ConcludedIn,Sales Dashboard
set_no_729,ConcludedIn,Sales Dashboard
set_no_2576,ConcludedIn,Sales Dashboard
set_no_3556,ConcludedIn,Sales Dashboard
set_no_315,ConcludedIn,Sales Dashboard
set_no_326,ConcludedIn,Sales Dashboard
set_no_3935,ConcludedIn,Sales Dashboard
set_no_2624,ConcludedIn,Sales Dashboard
set_no_5715,ConcludedIn,Sales Dashboard
set_no_2187,ConcludedIn,Sales Dashboard
set_no_2650,ConcludedIn,Sales Dashboard
set_no_3898,ConcludedIn,Sales Dashboard
set_no_250,ConcludedIn,Sales Dashboard
set_no_3946,ConcludedIn,Sales Dashboard
set_no_15,ConcludedIn,Sales Dashboard
set_no_2435,ConcludedIn,Sales Dashboard
set_no_550,ConcludedIn,Sales Dashboard
set_no_3113,ConcludedIn,Sales Dashboard
set_no_2026,ConcludedIn,Sales Dashboard
set_no_8,ConcludedIn,Sales Dashboard
set_no_153,ConcludedIn,Sales Dashboard
set_no_824,ConcludedIn,Sales Dashboard
set_no_2177,ConcludedIn,Sales Dashboard
set_no_247,ConcludedIn,Sales Dashboard
set_no_3012,ConcludedIn,Sales Dashboard
set_no_1462,ConcludedIn,Sales Dashboard
set_no_571,ConcludedIn,Sales Dashboard
set_no_2192,ConcludedIn,Sales Dashboard
set_no_3084,ConcludedIn,Sales Dashboard
set_no_1178,ConcludedIn,Sales Dashboard
set_no_5657,ConcludedIn,Sales Dashboard
set_no_3567,ConcludedIn,Sales Dashboard
set_no_752,ConcludedIn,Sales Dashboard
set_no_827,ConcludedIn,Sales Dashboard
set_no_2506,ConcludedIn,Sales Dashboard
set_no_1120,ConcludedIn,Sales Dashboard
set_no_219,ConcludedIn,Sales Dashboard
set_no_6570,ConcludedIn,Sales Dashboard
set_no_3007,ConcludedIn,Sales Dashboard
set_no_1548,ConcludedIn,Sales Dashboard
set_no_5184,ConcludedIn,Sales Dashboard
set_no_2485,ConcludedIn,Sales Dashboard
set_no_162,ConcludedIn,Sales Dashboard
set_no_2571,ConcludedIn,Sales Dashboard
set_no_3216,ConcludedIn,Sales Dashboard
set_no_4229,ConcludedIn,Sales Dashboard
set_no_26,ConcludedIn,Sales Dashboard
set_no_3055,ConcludedIn,Sales Dashboard
set_no_6574,ConcludedIn,Sales Dashboard
set_no_2587,ConcludedIn,Sales Dashboard
set_no_58,ConcludedIn,Sales Dashboard
set_no_454,ConcludedIn,Sales Dashboard
set_no_2514,ConcludedIn,Sales Dashboard
set_no_2480,ConcludedIn,Sales Dashboard
set_no_2181,ConcludedIn,Sales Dashboard
set_no_5182,ConcludedIn,Sales Dashboard
set_no_2031,ConcludedIn,Sales Dashboard
set_no_1094,ConcludedIn,Sales Dashboard
set_no_635,ConcludedIn,Sales Dashboard
set_no_3560,ConcludedIn,Sales Dashboard
set_no_3934,ConcludedIn,Sales Dashboard
set_no_152,ConcludedIn,Sales Dashboard
set_no_1550,ConcludedIn,Sales Dashboard
set_no_2513,ConcludedIn,Sales Dashboard
set_no_5445,ConcludedIn,Sales Dashboard
set_no_30,ConcludedIn,Sales Dashboard
set_no_135,ConcludedIn,Sales Dashboard
set_no_5637,ConcludedIn,Sales Dashboard
set_no_2029,ConcludedIn,Sales Dashboard
set_no_3313,ConcludedIn,Sales Dashboard
set_no_3034,ConcludedIn,Sales Dashboard
set_no_3033,ConcludedIn,Sales Dashboard
set_no_2226,ConcludedIn,Sales Dashboard
set_no_1561,ConcludedIn,Sales Dashboard
set_no_3927,ConcludedIn,Sales Dashboard
set_no_619,ConcludedIn,Sales Dashboard
set_no_623,ConcludedIn,Sales Dashboard
set_no_3941,ConcludedIn,Sales Dashboard
set_no_5604,ConcludedIn,Sales Dashboard
set_no_84,ConcludedIn,Sales Dashboard
set_no_5486,ConcludedIn,Sales Dashboard
set_no_304,ConcludedIn,Sales Dashboard
set_no_1685,ConcludedIn,Sales Dashboard
set_no_6468,ConcludedIn,Sales Dashboard
set_no_621,ConcludedIn,Sales Dashboard
set_no_1173,ConcludedIn,Sales Dashboard
set_no_3818,ConcludedIn,Sales Dashboard
set_no_91,ConcludedIn,Sales Dashboard
set_no_37,ConcludedIn,Sales Dashboard
set_no_453,ConcludedIn,Sales Dashboard
set_no_568,ConcludedIn,Sales Dashboard
set_no_5451,ConcludedIn,Sales Dashboard
set_no_475,ConcludedIn,Sales Dashboard
set_no_2583,ConcludedIn,Sales Dashboard
set_no_3014,ConcludedIn,Sales Dashboard
set_no_724,ConcludedIn,Sales Dashboard
set_no_2907,ConcludedIn,Sales Dashboard
set_no_3824,ConcludedIn,Sales Dashboard
set_no_2505,ConcludedIn,Sales Dashboard
set_no_5283,ConcludedIn,Sales Dashboard
set_no_3489,ConcludedIn,Sales Dashboard
set_no_2586,ConcludedIn,Sales Dashboard
set_no_3029,ConcludedIn,Sales Dashboard
set_no_5208,ConcludedIn,Sales Dashboard
set_no_5188,ConcludedIn,Sales Dashboard
set_no_5453,ConcludedIn,Sales Dashboard
set_no_83,ConcludedIn,Sales Dashboard
set_no_5660,ConcludedIn,Sales Dashboard
set_no_5578,ConcludedIn,Sales Dashboard
set_no_4936,ConcludedIn,Sales Dashboard
set_no_5493,ConcludedIn,Sales Dashboard
set_no_2585,ConcludedIn,Sales Dashboard
set_no_5871,ConcludedIn,Sales Dashboard
set_no_3943,ConcludedIn,Sales Dashboard
set_no_368,ConcludedIn,Sales Dashboard
set_no_4243,ConcludedIn,Sales Dashboard
set_no_4228,ConcludedIn,Sales Dashboard
set_no_4934,ConcludedIn,Sales Dashboard
set_no_563,ConcludedIn,Sales Dashboard
set_no_2191,ConcludedIn,Sales Dashboard
set_no_3484,ConcludedIn,Sales Dashboard
set_no_880,ConcludedIn,Sales Dashboard
set_no_3036,ConcludedIn,Sales Dashboard
set_no_301,ConcludedIn,Sales Dashboard
set_no_3253,ConcludedIn,Sales Dashboard
set_no_5582,ConcludedIn,Sales Dashboard
set_no_1475,ConcludedIn,Sales Dashboard
set_no_3816,ConcludedIn,Sales Dashboard
set_no_738,ConcludedIn,Sales Dashboard
set_no_2438,ConcludedIn,Sales Dashboard
set_no_1346,ConcludedIn,Sales Dashboard
set_no_130,ConcludedIn,Sales Dashboard
set_no_5449,ConcludedIn,Sales Dashboard
set_no_1292,ConcludedIn,Sales Dashboard
set_no_753,ConcludedIn,Sales Dashboard
set_no_2653,ConcludedIn,Sales Dashboard
set_no_198,ConcludedIn,Sales Dashboard
set_no_44,ConcludedIn,Sales Dashboard
set_no_3173,ConcludedIn,Sales Dashboard
set_no_6187,ConcludedIn,Sales Dashboard
set_no_1002,ConcludedIn,Sales Dashboard
set_no_252,ConcludedIn,Sales Dashboard
set_no_29,ConcludedIn,Sales Dashboard
set_no_723,ConcludedIn,Sales Dashboard
set_no_3894,ConcludedIn,Sales Dashboard
set_no_5447,ConcludedIn,Sales Dashboard
set_no_2579,ConcludedIn,Sales Dashboard
set_no_4191,ConcludedIn,Sales Dashboard
set_no_10,ConcludedIn,Sales Dashboard
set_no_2474,ConcludedIn,Sales Dashboard
set_no_2180,ConcludedIn,Sales Dashboard
set_no_4931,ConcludedIn,Sales Dashboard
set_no_2575,ConcludedIn,Sales Dashboard
set_no_2437,ConcludedIn,Sales Dashboard
set_no_19,ConcludedIn,Sales Dashboard
set_no_5479,ConcludedIn,Sales Dashboard
set_no_5114,ConcludedIn,Sales Dashboard
set_no_5928,ConcludedIn,Sales Dashboard
set_no_6151,ConcludedIn,Sales Dashboard
set_no_34,ConcludedIn,Sales Dashboard
set_no_1242,ConcludedIn,Sales Dashboard
set_no_5446,ConcludedIn,Sales Dashboard
set_no_2887,ConcludedIn,Sales Dashboard
set_no_5649,ConcludedIn,Sales Dashboard
set_no_2888,ConcludedIn,Sales Dashboard
set_no_1692,ConcludedIn,Sales Dashboard
set_no_4234,ConcludedIn,Sales Dashboard
set_no_2509,ConcludedIn,Sales Dashboard
set_no_367,ConcludedIn,Sales Dashboard
set_no_2507,ConcludedIn,Sales Dashboard
set_no_77,ConcludedIn,Sales Dashboard
set_no_467,ConcludedIn,Sales Dashboard
set_no_1684,ConcludedIn,Sales Dashboard
set_no_9,ConcludedIn,Sales Dashboard
set_no_89,ConcludedIn,Sales Dashboard
set_no_3087,ConcludedIn,Sales Dashboard
set_no_4237,ConcludedIn,Sales Dashboard
set_no_2886,ConcludedIn,Sales Dashboard
set_no_2477,ConcludedIn,Sales Dashboard
set_no_3482,ConcludedIn,Sales Dashboard
set_no_3899,ConcludedIn,Sales Dashboard
set_no_41,ConcludedIn,Sales Dashboard
set_no_4193,ConcludedIn,Sales Dashboard
set_no_1103,ConcludedIn,Sales Dashboard
set_no_1465,ConcludedIn,Sales Dashboard
set_no_69,ConcludedIn,Sales Dashboard
set_no_3992,ConcludedIn,Sales Dashboard
set_no_562,ConcludedIn,Sales Dashboard
set_no_3945,ConcludedIn,Sales Dashboard
set_no_722,ConcludedIn,Sales Dashboard
set_no_3052,ConcludedIn,Sales Dashboard
set_no_366,ConcludedIn,Sales Dashboard
set_no_5183,ConcludedIn,Sales Dashboard
set_no_1511,ConcludedIn,Sales Dashboard
set_no_514,ConcludedIn,Sales Dashboard
set_no_3486,ConcludedIn,Sales Dashboard
set_no_305,ConcludedIn,Sales Dashboard
set_no_1003,ConcludedIn,Sales Dashboard
set_no_35,ConcludedIn,Sales Dashboard
set_no_86,ConcludedIn,Sales Dashboard
set_no_1488,ConcludedIn,Sales Dashboard
set_no_789,ConcludedIn,Sales Dashboard
set_no_28,ConcludedIn,Sales Dashboard
set_no_726,ConcludedIn,Sales Dashboard
set_no_6127,ConcludedIn,Sales Dashboard
set_no_1486,ConcludedIn,Sales Dashboard
set_no_733,ConcludedIn,Sales Dashboard
set_no_4239,ConcludedIn,Sales Dashboard
set_no_2592,ConcludedIn,Sales Dashboard
set_no_5109,ConcludedIn,Sales Dashboard
set_no_1171,ConcludedIn,Sales Dashboard
set_no_5650,ConcludedIn,Sales Dashboard
set_no_3312,ConcludedIn,Sales Dashboard
set_no_1470,ConcludedIn,Sales Dashboard
